FacilityID,FacilityName,AddressStateCode,distance_miles
233860,NEW SHADY REST CAMPGROUND,CA,0.3683012329831922
233830,OLD SHADY REST CAMPGROUND,CA,0.5878975827095173
232270,PINE GLEN,CA,0.6213198282008008
232271,SHERWIN CREEK,CA,1.8672245812058956
234329,TWIN LAKES CAMPGROUND,CA,2.8716257682181436
233404,LAKE MARY CAMPGROUND,CA,3.2920441990634894
234290,Coldwater Campground - Inyo NF (CA),CA,3.433234102614735
231957,PUMICE FLAT GROUP CAMP,CA,5.866869548907482
231955,OBSIDIAN FLAT,CA,6.789144114172284
234311,CONVICT LAKE CAMPGROUND,CA,7.04551555137074
232398,AGNEW HORSE CAMP,CA,7.24721996846493
231956,AGNEW MEADOWS GROUP CAMP,CA,7.24721996846493
233235,REVERSED CREEK CAMPGROUND,CA,10.890688372120055
232268,JUNE LAKE,CA,11.27010349233248
232238,MCGEE CREEK,CA,11.35175014113321
232269,OH RIDGE,CA,12.170589729127297
234330,Silver Lake Campground June Lake (CA),CA,13.010950839071267
233101,ASPEN GROUP (INYO),CA,16.21020556724023
232395,FRENCH CAMP,CA,16.93938854759396
232241,TUFF CAMPGROUND,CA,17.470880411547057
232396,East Fork Campground â€“ Inyo National Forest (CA),CA,17.542500734644115
234663,PALISADES GROUP CAMPGROUND,CA,17.59005351266828
232239,"Rock Creek Lake Group Camp (Inyo National Forest, CA)",CA,18.072679713839108
233907,"Rock Creek Lake (Inyo National Forest, CA)",CA,18.072679713839108
232806,VERMILLION,CA,18.517694049851947
232804,MONO CREEK,CA,19.9404619261701
232805,MONO HOT SPRINGS,CA,22.067980408899142
232803,JACKASS MEADOW,CA,25.138859158431924
232448,Tuolumne Meadows Campground,CA,26.61005953114646
232808,BADGER FLATS GROUP,CA,26.98889719086791
232422,Saddlebag Lake Trailhead Group Camp,CA,27.73368677575137
232877,SWEETWATER,CA,28.542301400913153
232817,MAMMOTH POOL,CA,28.769304607999885
232815,RANCHERIA,CA,28.91199756782396
232812,COLLEGE,CA,29.191982384720237
232814,KINNIKINNICK,CA,29.333421275539365
232813,DEER CREEK,CA,29.346570028860373
232811,CATAVEE,CA,29.357016781355373
232810,UPPER BILLY CREEK CG,CA,31.39086449924059
232906,LOWER BILLY CREEK,CA,31.461700353343357
232117,TRUMBULL LAKE,CA,32.272308901041185
232818,"Rock Creek (Sierra National Forest, CA)",CA,32.46582470525974
232447,Upper Pines Campground,CA,33.17042165718746
232449,North Pines Campground,CA,33.41279970283973
232450,Lower Pines Campground,CA,33.4569349597415
232820,FISH CREEK (CA),CA,33.930114232025325
10132055,Forks Campground (Inyo),CA,34.232178087308874
10132033,Bishop Park Campground (CA),CA,34.27061839167253
232237,BISHOP PARK GROUP,CA,34.345072820504676
232880,KELTY MEADOW,CA,34.55923097352771
232879,TEXAS FLATS,CA,35.019300091025606
10004152,Camp 4,CA,35.43042834138894
233807,FOUR JEFFREY,CA,35.48760816346031
232453,Bridalveil Creek Campground,CA,35.713162994193496
232053,GREEN CREEK GROUP,CA,36.41894528655846
232881,SOQUEL CAMPGROUND,CA,36.49385370673335
232882,CHILKOOT,CA,36.59226794070905
10083840,Yosemite Creek Campground,CA,36.723243070064186
232240,TABLE MOUNTAIN (INYO),CA,37.15339737844215
233837,SUMMERDALE CAMPGROUND,CA,37.931815493983414
232446,Wawona Campground,CA,38.493485968381385
232911,WISHON BASS LAKE,CA,39.217200386465954
232912,CEDAR BLUFF,CA,39.265096371078
232802,LUPINE,CA,39.27147518107659
232801,SPRING COVE,CA,39.334283283037365
232910,RECREATION POINT,CA,40.00334006126959
232909,CRANE VALLEY,CA,40.11127295830612
232878,Forks Campground (Sierra),CA,40.165672817522164
10083567,White Wolf Campground,CA,40.36733255173762
232367,CRAGS CAMPGROUND,CA,40.970605785490555
232136,DINKEY CREEK,CA,41.06067917502555
232821,DORABELLE CAMPGROUND,CA,41.30967661520758
232119,LOWER TWIN LAKES AT BRIDGEPORT,CA,41.59907861827697
232079,PAHA,,41.830612789014204
232079,PAHA,CA,41.830612789014204
233102,ROBINSON CREEK SOUTH,CA,42.06783158529158
232090,ROBINSON CREEK NORTH,CA,42.06783158529158
232058,HONEYMOON FLAT,CA,43.07012340892388
232242,UPPER SAGE FLAT,CA,46.165108760513114
232305,BIG PINE CREEK CAMPGROUND,CA,46.213409457761834
232236,BIG PINE CANYON,CA,46.440536870253155
233842,DRY GULCH,CA,47.55881970098137
233839,DIRT FLAT,CA,47.7317913761638
232452,Crane Flat Campground,CA,48.65879167179081
232451,Hodgdon Meadow Campground,CA,50.25961419831178
233772,DIMOND O,CA,50.41752177994647
273816,CEDAR FLAT GROUP CAMPGROUND,CA,51.34633147654341
10182463,Kirch Flat Group Campground,CA,53.69516353087849
233314,TRIMMER CAMPGROUND,CA,54.0781240526179
234457,CAMP FOUR AND HALF CABIN,CA,54.591654592835695
234756,CHERRY VALLEY,CA,56.95808710202195
233521,ISLAND PARK,CA,57.07584552074083
10174943,Sweetwater (Stanislaus National Forest),,58.04254724537027
232782,PRINCESS,,58.05188629598111
232782,PRINCESS,CA,58.05188629598111
232781,HUME LAKE,,58.6290918878951
232777,LOGGER FLAT GROUP,,60.011092740807946
234761,LOST CLAIM,CA,60.33369834372708
10197849,LANDSLIDE,,60.90344229669537
253917,Sentinel Campground,CA,61.08521205331073
233440,BUCK RIDGE,CA,61.34068933916036
234753,CANYON VIEW GROUP SITES,CA,61.386745219553205
251363,TEN MILE CAMPGROUND (CA),,61.56648508066511
10044765,Sheep Creek Campground,CA,61.630035753453974
10044761,Moraine Campground (CA),CA,61.63106906158785
10124445,Crystal Springs Campground (CA),CA,62.043111225128264
251008,Crystal Springs Campground Mid-Sized Group Sites,CA,62.043111225128264
10124502,Azalea Campground,CA,62.121668372709514
233509,HIDDEN VIEW,CA,62.34604251726652
233414,Codorniz Recreation Area Campground,CA,62.351015366706385
234752,SUNSET CAMPGROUND (CA),CA,62.51880042785442
10180062,Pines Stanislaus,CA,62.730399069982646
233701,Chowchilla Recreation Area Day Use,CA,62.75301082026536
233775,PINES GROUP STANISLAUS,CA,62.81709673662732
234458,Big Meadows Cabin (CA),CA,64.23368355089146
256932,Big Meadow Campground - US Forest Service Sequoia National Forest (CA),,64.29459210606099
233363,ESHOM CAMPGROUND,CA,65.81741999731867
232293,PIONEER TRAIL,CA,67.1035670603206
118995,PINECREST DAY USE AREA,California,67.51594999570882
232254,PINECREST,CA,67.67019327067908
10354715,Meadowview Campground,CA,67.80314854284221
232783,COVE GROUP,CA,67.9078129487274
234672,UPPER STONY CREEK CAMPGROUND,CA,67.91700398331105
232785,STONY CREEK SEQUOIA,CA,67.92855954141706
232784,FIR GROUP,CA,67.9373057074016
232077,ONION VALLEY,CA,69.01689098389224
232460,Dorst Creek Campground-Sequoia and Kings Canyon National Park,CA,70.07401293154282
232052,GRAYS MEADOWS,CA,70.7783919407977
232461,Lodgepole Campground-Sequoia and Kings Canyon National Park,CA,72.78802540986406
